,Label,electricity,grid,need,nuclear,plant,power,reactor,report,said,solar,state,time,wind,year
0,risk,0.0,0.0,0.17476003693347103,0.1321416831406924,0.0,0.0,0.0,0.0,0.16832469788323678,0.0,0.3631266089908726,0.0,0.0,0.0
1,risk,0.0,0.0,0.0,0.6405328847990589,0.12101680553786806,0.1946111887122206,0.5553530237811025,0.0,0.0,0.0,0.0,0.22883911807843588,0.0,0.2089544191918499
2,risk,0.0,0.0,0.2128708796956987,0.0804792583825611,0.0,0.17116240490595686,0.0,0.0,0.1025160761626467,0.0,0.7740522009096523,0.0,0.0,0.18377741352524085
3,risk,0.06166783170974921,0.027766413582354987,0.03329268721477228,0.49088659020467174,0.16646343607386138,0.414927934121039,0.6302259180733274,0.08996158597324783,0.1763669708770178,0.0,0.10376623418570527,0.04721659822469267,0.0,0.0718562815447337
4,risk,0.18451849926163696,0.5311574571767882,0.09178124224227882,0.322238700573418,0.17516785866971507,0.1660460598569352,0.060995409805688426,0.2253225224615248,0.16332716652042806,0.43740780725601225,0.16396273060003935,0.12434620367788322,0.42784690120672375,0.005314698701129026
5,risk,0.0,0.0,0.0,0.23645952401446682,0.31272248217121257,0.25144976237755695,0.0,0.0,0.3012068334181243,0.0,0.0,0.29567437640289734,0.0,0.5399642168696309
6,risk,0.0,0.0,0.0,0.7042290570840419,0.0,0.5242113247957975,0.21370254509741482,0.0,0.0,0.28915000342098374,0.1935228183672338,0.0,0.0,0.0
7,risk,0.2696301659531894,0.0,0.0,0.33020041308769554,0.2183483478306128,0.8778332756306362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6546344722175438,0.0,0.0,0.5439873498005242
9,risk,0.0,0.0,0.02745580255545849,0.47748494783091167,0.0,0.05519074756412476,0.0,0.01854737292700008,0.06611193484767766,0.0,0.5277057446872626,0.116815706990065,0.019952472026296283,0.13036851319979292
10,risk,0.16227866953866094,0.0,0.08760958244824925,0.4637109559470089,0.350438329792997,0.4931076900823478,0.3015340285296802,0.059183394634493666,0.16876691898265075,0.0,0.18204030594048212,0.2899173723331078,0.0,0.15127162987611703
11,risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.650169433100973,0.0,0.0,0.0,0.0,0.29138468141059626
12,risk,0.11846430598935999,0.0,0.0,0.6528436158467975,0.09593320316454358,0.0,0.33018220623352784,0.1296125940285588,0.09240057236764199,0.0,0.09966780554079065,0.0907033924298392,0.0,0.08282183065139799
13,risk,0.0,0.0,0.19558552752448893,0.14788850619712937,0.13039035168299262,0.31452765454577275,0.0,0.08808332861012488,0.3139721892237301,0.7084194446363843,0.13546634311423641,0.0,0.09475628473066136,0.11256965544184348
14,risk,0.0,0.0,0.0,0.3033818072115416,0.0,0.3226145516910908,0.0,0.0,0.38645376559780925,0.0,0.0,0.0,0.0,0.0
15,risk,0.0,0.0,0.10629015198930872,0.0,0.0,0.0,0.0,0.7180278498256077,0.20475227672759866,0.0,0.5521397102315709,0.0,0.0,0.2752898270123688
16,risk,0.0,0.0,0.0,0.3584804225193348,0.4740975776182851,0.2541374115652823,0.0,0.2135132044337324,0.0,0.0,0.16418460489420808,0.0,0.0,0.0
17,risk,0.265665472953551,0.0897134355797456,0.21513771239200638,0.2033406773178667,0.26892214049000795,0.47570899693729385,0.4319346649968199,0.0,0.0,0.08348982046486285,0.0,0.15255708954135758,0.07817162109234145,0.13930082542875047
18,risk,0.0,0.10522007827236297,0.06308087186423246,0.04769747551206623,0.06308087186423246,0.05072123414569937,0.0,0.0,0.3645479442007763,0.0,0.0,0.1192840202719838,0.0916833029173465,0.3267569380282885
19,risk,0.19741227101760253,0.5866501551100404,0.06394632153386887,0.19340747933941296,0.22381212536854106,0.359919794383854,0.0,0.08639603744256427,0.36954942703624244,0.24816043848802566,0.16608925089144966,0.15115069926787583,0.18588233784270233,0.0552066566960558
20,risk,0.05095703681537371,0.27532555368051415,0.12379606814000424,0.5928391884247982,0.16506142418667233,0.3649811260882431,0.14202680459998104,0.0,0.0,0.3843384365613033,0.0857435662807282,0.07803153985879482,0.4198326400106109,0.10687662511606637
21,risk,0.0,0.0,0.23578094522741344,0.17828155396141687,0.0,0.18958362775507068,0.0,0.318556859620481,0.0,0.0,0.24495970762951702,0.22292731710166336,0.685379741419852,0.0
22,risk,0.0,0.0,0.0,0.1142436460519462,0.0,0.0,0.0,0.20413271204590144,0.0,0.0,0.7848565797634682,0.2857057159798384,0.0,0.0
23,safe,0.0,0.0,0.16703760947842028,0.12630250743583277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1579315330175806,0.0,0.0
24,safe,0.2861178458053783,0.070269137258849,0.10531826520699067,0.4618802549475538,0.10531826520699067,0.45728776489885997,0.5558082557165775,0.0,0.0,0.0,0.0875345763951169,0.019915365325006037,0.0,0.14547874959223708
25,safe,0.0,0.0,0.17476003693347103,0.1321416831406924,0.0,0.0,0.0,0.0,0.16832469788323678,0.0,0.3631266089908726,0.0,0.0,0.0
26,safe,0.3703849178665548,0.0,0.0,0.6803833639049572,0.37492529161026744,0.12058599027507515,0.08602767750410484,0.0,0.0,0.23279931676314056,0.0,0.07089723835963145,0.3269554278456567,0.1294734168540647
27,safe,0.0,0.0,0.0,0.8217769810051118,0.0,0.0,0.0,0.0,0.523397911875421,0.0,0.0,0.0,0.0,0.0
28,safe,0.06166783170974921,0.027766413582354987,0.03329268721477228,0.49088659020467174,0.16646343607386138,0.414927934121039,0.6302259180733274,0.08996158597324783,0.1763669708770178,0.0,0.10376623418570527,0.04721659822469267,0.0,0.0718562815447337
29,safe,0.0,0.0,0.1732269639778551,0.3274561934617237,0.0,0.13928604885455523,0.09936855238611757,0.0,0.0,0.13445051508060712,0.0,0.08189173703583882,0.12588618183667843,0.2991034136579795
30,safe,0.0,0.0,0.0,0.23645952401446682,0.31272248217121257,0.25144976237755695,0.0,0.0,0.3012068334181243,0.0,0.0,0.29567437640289734,0.0,0.5399642168696309
31,safe,0.052011207853709,0.0,0.1263570928354905,0.2866279822955656,0.6317854641774524,0.23706559804853336,0.24160829450673887,0.0,0.4462485023304342,0.06538156964982884,0.08751738183095768,0.1194687198976699,0.06121684368982369,0.2181752594349278
32,safe,0.23431591202615132,0.0,0.0,0.09565103206032188,0.0,0.10171478346232538,0.0,0.08545553848826215,0.12184218250520698,0.2945507853863173,0.13142497542414733,0.11960422983427355,0.8273647826573491,0.10921136468172833
33,safe,0.0,0.0,0.06744894502886153,0.1530009482471808,0.0,0.054233456713350996,0.0,0.0,0.5197217164172715,0.0,0.21022403449422128,0.0,0.0,0.0
34,safe,0.0,0.0,0.02745580255545849,0.47748494783091167,0.0,0.05519074756412476,0.0,0.01854737292700008,0.06611193484767766,0.0,0.5277057446872626,0.116815706990065,0.019952472026296283,0.13036851319979292
35,safe,0.10427205071586015,0.07042393428596458,0.042220109011598186,0.5746316753606515,0.37998098110438366,0.5431646003734968,0.38750097723612237,0.0,0.0,0.06553847360731244,0.0,0.11975542324614924,0.0,0.07289961354974388
36,safe,0.05095703681537371,0.27532555368051415,0.12379606814000424,0.5928391884247982,0.16506142418667233,0.3649811260882431,0.14202680459998104,0.0,0.0,0.3843384365613033,0.0857435662807282,0.07803153985879482,0.4198326400106109,0.10687662511606637
37,safe,0.0,0.10522007827236297,0.06308087186423246,0.04769747551206623,0.06308087186423246,0.05072123414569937,0.0,0.0,0.3645479442007763,0.0,0.0,0.1192840202719838,0.0916833029173465,0.3267569380282885
38,safe,0.0,0.0,0.0394696825351783,0.05968859213748923,0.0394696825351783,0.0,0.0,0.26663176929960597,0.4181788213910353,0.0,0.0,0.26122591450952687,0.0,0.13630114517019132
39,safe,0.011841162848511102,0.0,0.13424676238712482,0.16676362519467597,0.028767163368669607,0.02313072070516524,0.0550058973606649,0.05182198368673072,0.08312353615773843,0.0,0.0,0.16319350685995504,0.013936969455543213,0.37253251026464707
40,safe,0.0,0.0,0.0,0.30825225288597646,0.11647708909063885,0.14048303868780865,0.06681500075568629,0.31473769589532447,0.056093976562171334,0.0,0.0,0.0,0.0,0.25139486197720623
41,safe,0.05395683053158478,0.0,0.33317139715479277,0.40885637718736295,0.0,0.5797008420717924,0.0,0.0,0.32090274042895583,0.0,0.28372253397905345,0.0,0.0,0.15560648588820225
42,safe,0.08477607863883911,0.34353970887283636,0.0,0.0,0.4805657278234067,0.2208039669257853,0.0,0.0,0.5289936491092279,0.3197076160443001,0.0713248235383702,0.19472898267260785,0.29934263222267743,0.11853882854716016
43,safe,0.1835124753571341,0.11017053023194169,0.08256091915730228,0.049941572503749296,0.03302436766292091,0.07966139188832796,0.018943838376979653,0.15616395952721748,0.031808282987272826,0.33321522716153373,0.20585987827530927,0.3122404007233545,0.33598904235613936,0.3278749452830381
44,safe,0.0,0.0,0.38004079429185417,0.28736106435459896,0.19002039714592708,0.15278909075386835,0.0,0.0,0.18302311273496233,0.5899391107577793,0.0,0.0,0.5523607114848015,0.16404994968986905
45,safe,0.0,0.0,0.0,0.34635335746960944,0.33313402900609707,0.26786200931853676,0.0,0.05626097669308291,0.12032503061989439,0.0,0.7354681707618268,0.11811494444022148,0.0,0.14380198525862567
46,safe,0.0,0.0,0.03952955537058874,0.052306743728300444,0.0,0.007946100673522357,0.0,0.0,0.04759240572078022,0.0,0.0205342045706126,0.10278014077999668,0.0,0.9470235893885378
47,safe,0.17229116148337642,0.0,0.0,0.8791457688604001,0.23253759659223794,0.29916121412699115,0.05335641477078961,0.0,0.1791797318412481,0.0721938407728017,0.048318019608551775,0.04397215600571726,0.06759518148044633,0.04015124859744812
48,safe,0.0,0.0,0.46927684467958447,0.17741765566952933,0.46927684467958447,0.0,0.0,0.0,0.0,0.0,0.0,0.6655412369823932,0.0,0.0
49,safe,0.027844854523311542,0.0,0.09019581261251564,0.017049988515677617,0.0,0.05439259313418371,0.0,0.0,0.0,0.0,0.09370706299297549,0.10659847056405967,0.0,0.13627001522591595
50,risk,0.05263848033829476,0.0237008789655351,0.12788100144747439,0.6500048547234744,0.2273440025732878,0.3370370618482368,0.5542502542335773,0.07678948721179024,0.0,0.08822679086603678,0.022143217648998435,0.026868789430764914,0.1652137045539737,0.06133514603007305
51,risk,0.0,0.0,0.0,0.7445893028055119,0.0,0.07917921853207405,0.11297505226545793,0.0,0.0,0.0,0.0,0.0931051429207049,0.0,0.0
52,risk,0.0,0.10397197844745004,0.09349892849733353,0.40061942841709236,0.21816416649377823,0.3257773276268719,0.07151198605640376,0.0,0.0,0.5805553041988725,0.0,0.11786909673969939,0.4982767550914709,0.08072025291192796
53,risk,0.1254338178779379,0.0,0.3047314843156898,0.6912518207826801,0.0,0.0,0.34960754108458536,0.0,0.19567339663005345,0.0,0.0,0.0,0.0,0.08769441846202973
54,risk,0.02069774083720671,0.027957949049249153,0.050283515195568555,0.6590303659345385,0.20113406078227422,0.2695420309971327,0.5768847988939811,0.02264553747254591,0.14529564628708588,0.0,0.06965468262082865,0.0792371716480104,0.0,0.0868223439374029
55,risk,0.0,0.23525469701581841,0.0,0.1066436685303044,0.0,0.22680858572121113,0.16180831473935756,0.0,0.0,0.21893456972681996,0.0,0.13334967293635375,0.0,0.0
56,risk,0.0,0.0,0.0,0.6950084038012708,0.4595813048183427,0.3695340644759624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,risk,0.20090256239814872,0.7476623798859202,0.01992150191090527,0.09289027691667331,0.07636575732513687,0.41647367039292393,0.0,0.20635116050257438,0.08634561895374872,0.0,0.10003564473014961,0.1255698580547672,0.0,0.0
58,risk,0.0,0.0,0.0,0.5411396528943827,0.11927801467623572,0.3836299614785695,0.6842170166639198,0.0,0.11488573781964176,0.0,0.0,0.0,0.0,0.20595212514703815
59,risk,0.07030996069848161,0.0,0.2846874291731522,0.0430522638013153,0.0,0.13734462438477607,0.0,0.0,0.21936331141870263,0.26515298041612506,0.05915401632544319,0.1615005947242979,0.3310174134792495,0.34409012289485547
60,risk,0.07555576296615077,0.0,0.0,0.09252875713806562,0.061185572298333095,0.14759186012338724,0.0,0.0,0.23572993351679317,0.0949786513843683,0.19070243212684027,0.11570006613249749,0.0,0.5810554671421382
61,risk,0.0,0.0,0.0,0.6741711360629027,0.2972016344819597,0.31862661893214167,0.2273125423209575,0.0,0.19083834882923664,0.0,0.0,0.09366654989781494,0.0,0.25658252438589524
62,risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,risk,0.08206660011606558,0.0,0.0,0.25125550365655436,0.06645809263986226,0.21374698085454555,0.0,0.0,0.25604339668935994,0.0,0.27618101075935886,0.0,0.0,0.34425083573574916
64,risk,0.41244585494101654,0.0,0.3340014670746832,0.12627462435107814,0.0,0.13427974373090285,0.0,0.0,0.0,0.0,0.34700387532813903,0.47369000211931683,0.0,0.1441764270913131
65,risk,0.05218279858646494,0.02349570476640336,0.12677395887347093,0.5751471994822257,0.22537592688617053,0.28315202821607977,0.3716882600946348,0.01903118364634663,0.04070188414025579,0.1749260551636095,0.029268703787491693,0.1731352428443904,0.10236467472389782,0.2675383868293978
66,risk,0.0,0.0,0.0,0.806719540196121,0.0,0.1513872598900984,0.2160034402395652,0.0,0.3022398108485485,0.0,0.32601073697339494,0.05933767609629334,0.0,0.0
67,risk,0.12539296127459457,0.0,0.050772037741224164,0.5374651835663704,0.10154407548244833,0.32659287523729924,0.17474683303981692,0.0,0.0,0.0,0.0,0.192016774663766,0.0737933382718353,0.13149878163927126
68,risk,0.12539296127459457,0.0,0.050772037741224164,0.5374651835663704,0.10154407548244833,0.32659287523729924,0.17474683303981692,0.0,0.0,0.0,0.0,0.192016774663766,0.0737933382718353,0.13149878163927126
69,risk,0.12632797427613907,0.0,0.03410041846328117,0.36098192005747065,0.06820083692656234,0.1919330980626772,0.11736657413993347,0.04607209546526207,0.22991296610884873,0.0,0.17713960152192865,0.03224142982687241,0.0,0.20607894795136547
70,risk,0.0,0.0,0.0,0.7672195471869968,0.0,0.5439047088097957,0.15521159224455852,0.0,0.06515329880320773,0.0,0.0,0.0,0.0,0.05839915642934787
71,risk,0.0,0.0,0.11840622322080638,0.35812301039250255,0.17760933483120958,0.04760325590629455,0.6792161407656574,0.07998762281735965,0.3421381472709009,0.0,0.06150784108891548,0.11195129294818888,0.0,0.2044468410138468
72,risk,0.0,0.0,0.034214812783439456,0.0,0.0,0.01834066312183299,0.0,0.07704441723992723,0.4503835147600188,0.0,0.11848922634448086,0.04313278390154964,0.0,0.20677026677418917
73,risk,0.0,0.0,0.03160069448050623,0.0,0.0,0.016939379313612883,0.0,0.0996211771916637,0.5174295940842735,0.0,0.1860416764485376,0.029877978613979773,0.0,0.1909723741392654
74,risk,0.16330198794380102,0.11029195636575674,0.1322430638980283,0.09999323274244926,0.2644861277960566,0.2658306396966519,0.0,0.08933490172692833,0.2547467277803702,0.0,0.34347794981108365,0.06251690825070048,0.0,0.11416915397058827
75,risk,0.0,0.0,0.0,0.10868070973070108,0.0,0.0,0.1648990767905258,0.19419275199177227,0.27687928890202806,0.0,0.4479834445412532,0.13589683566597785,0.0,0.24817648839969486
76,risk,0.0,0.11564461485282951,0.0,0.7863455733373061,0.0,0.0,0.4772425921874847,0.09367047827917198,0.13355501248650548,0.0,0.14405901037648072,0.0,0.0,0.11970997953121204
77,risk,0.1321860982028665,0.0,0.03568173470345536,0.37772149682280554,0.07136346940691073,0.20083348517435642,0.12280913696188032,0.0482085663961547,0.24057456862044319,0.0,0.18535397956442196,0.03373654041170492,0.0,0.21563531124070176
78,risk,0.0,0.0,0.11472177362012852,0.0,0.0,0.2767319047485675,0.0,0.15499729165675968,0.6629836508648195,0.0,0.23837559984010934,0.10846770158467477,0.0,0.2971275948275433
79,risk,0.0,0.0,0.14170029488925578,0.0,0.0,0.1139365012433796,0.0,0.574341589440314,0.40944702940775135,0.0,0.44164971991620544,0.26795097069195734,0.0,0.24466769459249366
80,risk,0.13135524996802345,0.0,0.10637237754166733,0.36194208725321236,0.0,0.5987134730281686,0.4881489083436824,0.0,0.05122766802698435,0.0,0.055256684286618674,0.0,0.0,0.2295856582530608
81,risk,0.0,0.0,0.11885069555586486,0.7189346593774293,0.23770139111172972,0.09556389725625114,0.4090594661341255,0.16057575943411834,0.11447415423853083,0.0,0.12347745746310823,0.11237153481754321,0.0,0.1026071459664007
82,risk,0.1596735510833999,0.0,0.06465236548747323,0.6110716546279287,0.3555880101811027,0.23393168990428528,0.22252004489265365,0.0,0.0,0.10036017074202924,0.16792307508239196,0.12225566717019723,0.14095102605910526,0.027908102142860783
83,risk,0.08656179557630506,0.0,0.07009833259019987,0.21201441282256855,0.07009833259019987,0.11272748253014016,0.0,0.0,0.0,0.0,0.582617634009402,0.0,0.0,0.09077679112996592
84,safe,0.12455265941438527,0.0,0.0,0.7626620605377886,0.15129538995515174,0.2838537299081481,0.4050101853319996,0.0681369512319771,0.09714940651266586,0.078285514917073,0.0,0.14304750258771334,0.14659764687580773,0.1306175625524618
85,safe,0.0,0.0,0.0,0.8877255679249171,0.0,0.0,0.0,0.0,0.37693414743095904,0.0,0.20328986252572528,0.0,0.0,0.16892956031183862
86,safe,0.05263848033829476,0.0237008789655351,0.12788100144747439,0.6500048547234744,0.2273440025732878,0.3370370618482368,0.5542502542335773,0.07678948721179024,0.0,0.08822679086603678,0.022143217648998435,0.026868789430764914,0.1652137045539737,0.06133514603007305
87,safe,0.0,0.0,0.12736920666579785,0.5778477154540942,0.3184230166644946,0.20482669827875286,0.6575676242822039,0.0,0.0,0.0,0.0,0.12042565821418348,0.0,0.0
88,safe,0.017534129352980096,0.023684628140300916,0.01419925756948179,0.5905083365321138,0.36918069680652654,0.3310973921441495,0.48870902216495615,0.0,0.027352772206830803,0.022041574246179023,0.08851213942046904,0.12082664918372832,0.020637552945465525,0.18387927229607742
89,safe,0.25842633098965223,0.0,0.0,0.7911993168851822,0.20927540584355078,0.3365428075747842,0.24009419378093264,0.0,0.0,0.0,0.0,0.0,0.30416606270757907,0.0
90,safe,0.0,0.0,0.0,0.24937850438592504,0.0,0.26518773532706164,0.189188519501472,0.0,0.0,0.25598132692394987,0.0,0.3118285638098655,0.0,0.28473259723010247
91,safe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,safe,0.0,0.0,0.1434863814648173,0.5424733333555671,0.1434863814648173,0.3461179024281717,0.0,0.0,0.0,0.4454691683556466,0.0,0.0,0.41709332758325357,0.3716274781134333
93,safe,0.0,0.0,0.20464501820086894,0.7736933919771103,0.0,0.0,0.0,0.0,0.3942183975972062,0.0,0.0,0.0,0.0,0.0
94,safe,0.0,0.0,0.279328180281325,0.0,0.41899227042198756,0.22459851325508629,0.0,0.3773922775146159,0.0,0.0,0.0,0.0,0.0,0.12057593450592426
95,safe,0.07453820905456364,0.0,0.0,0.7759022523900712,0.06036155019888374,0.24267358951731108,0.41550389560450773,0.0,0.11627760990756546,0.0,0.0,0.0,0.0,0.15633546854011976
96,safe,0.0,0.0,0.11840622322080638,0.35812301039250255,0.17760933483120958,0.04760325590629455,0.6792161407656574,0.07998762281735965,0.3421381472709009,0.0,0.06150784108891548,0.11195129294818888,0.0,0.2044468410138468
97,safe,0.0,0.11355723718354965,0.06807911232958333,0.4118144467264037,0.4765537863070833,0.10948030662391925,0.39052366240092934,0.0,0.45900523662506165,0.0,0.07072937737121618,0.12873554177720922,0.0,0.17632383344650543
98,safe,0.09606856575954859,0.0,0.0,0.4117735860615248,0.5445788595845398,0.2502158717077158,0.0,0.0,0.5245253641601223,0.0,0.40412776872914496,0.0,0.0,0.0
99,safe,0.0,0.0,0.0,0.755713056663717,0.42833388663280364,0.2009052810578303,0.12285303995185826,0.2411290022877922,0.03438008164688253,0.0,0.11125214501132114,0.06749720174848474,0.0518792574216501,0.03081605694616332
100,safe,0.0,0.0,0.0,0.6741711360629027,0.2972016344819597,0.31862661893214167,0.2273125423209575,0.0,0.19083834882923664,0.0,0.0,0.09366654989781494,0.0,0.25658252438589524
101,safe,0.10347340776576054,0.0,0.0,0.44351256668447486,0.5865543005965318,0.26950219062788855,0.0,0.0,0.48424723493904154,0.0,0.17411096781788485,0.0,0.0,0.0
102,safe,0.05523948142792907,0.0,0.014911102969715099,0.8230578015935491,0.059644411878860396,0.26376949938100885,0.32503253498845064,0.020145962732181805,0.02872403721725716,0.02314657520586062,0.15491580205398023,0.09868755610430582,0.021672166696530624,0.09011222006270052
103,safe,0.41244585494101654,0.0,0.3340014670746832,0.12627462435107814,0.0,0.13427974373090285,0.0,0.0,0.0,0.0,0.34700387532813903,0.47369000211931683,0.0,0.1441764270913131
104,safe,0.20167977059656947,0.0,0.0,0.20582125682845037,0.5444055136899769,0.30641687566806014,0.0,0.0,0.41948672122434366,0.0,0.0,0.0,0.0,0.04700005813751785
105,safe,0.0,0.0,0.12124139215261764,0.13751177248377422,0.12124139215261764,0.04874308849724634,0.06954795807091177,0.0819028804530864,0.23355363231928639,0.0,0.18894183293091535,0.28657975571546795,0.0,0.4186844061312483
106,safe,0.05218279858646494,0.02349570476640336,0.12677395887347093,0.5751471994822257,0.22537592688617053,0.28315202821607977,0.3716882600946348,0.01903118364634663,0.04070188414025579,0.1749260551636095,0.029268703787491693,0.1731352428443904,0.10236467472389782,0.2675383868293978
107,safe,0.0,0.0,0.0,0.8107861796868641,0.16496631533845896,0.46425377467125045,0.18925995781753724,0.0,0.15889161891644468,0.0,0.0,0.07798657787014816,0.0,0.07121002833978482
108,safe,0.0,0.0,0.21786180540118227,0.0,0.21786180540118227,0.350350885033463,0.0,0.0,0.8393571715348384,0.0,0.0,0.2059850414551798,0.0,0.18808621996490787
109,safe,0.0,0.08517609605822471,0.10212846235366642,0.4633356852787298,0.5617065429451652,0.45164957686717494,0.11716833486501879,0.0,0.24591924550669333,0.07926724600216517,0.0530521205915871,0.09656091627871723,0.07421801945450922,0.08817037203725142
110,safe,0.0,0.0,0.20464501820086894,0.7736933919771103,0.0,0.0,0.0,0.0,0.3942183975972062,0.0,0.0,0.0,0.0,0.0
111,safe,0.0,0.0,0.0,0.4942637314991776,0.0,0.2627986721095428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,safe,0.0,0.0,0.12486026940817688,0.755286915544787,0.0,0.02509899900312793,0.0,0.0,0.0,0.0,0.0,0.05902674799464565,0.0,0.29643729495048776
113,safe,0.20438958683768865,0.0,0.16551608178566635,0.5006081256972197,0.16551608178566635,0.5323439382510925,0.5696720556425543,0.0,0.0,0.0,0.0,0.1564929515999246,0.0,0.0
